# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Nov 18 09:15:56 EST 2020 [seed=1605708932774]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-141774.54106595382	-136.17565431757905	-141638.36541163624	1001.9317289105791	1018.0682710894209	2824.0425729342387	302.6167692871052	10.0	1.0E-8	1.0E-8	-141638.36541163624	0.0	-126.47556697707037
1000	-140933.48270340275	-169.89725038685287	-140763.5854530159	4936.543567472057	-2916.5435674720566	13934.673683596817	2043.724028744912	8.849903912986017	1.2945889329383473E-7	1.2945889329383473E-7	-140763.5854530159	0.0	-158.50635752580078
2000	-140901.6624935718	-160.34702783841908	-140741.3154657334	2500.9683548459593	-480.9683548459593	7685.519163379875	1085.3145740711345	8.805580270329502	3.7813108413406263E-7	3.781310841340628E-7	-140741.3154657334	0.0	-149.5978445291729
3000	-140900.3148158891	-163.6843774053832	-140736.63043848373	4083.595628450665	-2063.595628450665	11359.859323151877	1114.835650207013	7.222874882619912	2.3133357505945196E-7	2.3133357505945196E-7	-140736.63043848373	0.0	-153.2429722267066
4000	-140906.65156831947	-171.59794568771906	-140735.05362263176	4953.125472397297	-2933.125472397297	13868.674526404278	2564.935268585582	7.395346433099601	2.012789278528283E-7	2.012789278528283E-7	-140735.05362263176	0.0	-160.2847791044568
5000	-140896.61040627604	-157.95547604143752	-140738.6549302346	2815.7295307444533	-795.7295307444533	8127.3157296944955	983.3685591571315	8.314652027850821	3.0874123443445625E-7	3.087412344344562E-7	-140738.6549302346	0.0	-147.40440093902544
6000	-140904.67578694914	-163.96253465067858	-140740.71325229848	2689.514467619457	-669.5144676194568	8548.199262208198	1058.080848021025	9.646925118985171	3.095556131479135E-7	3.095556131479135E-7	-140740.71325229848	0.0	-153.07620103149964
7000	-140902.43910411172	-163.76668245984547	-140738.67242165186	3218.0221230596626	-1198.0221230596626	9780.670897210017	1178.1975300130755	6.493089483797316	2.593297481425482E-7	2.593297481425481E-7	-140738.67242165186	0.0	-153.43950128205623
8000	-140897.18874677978	-163.26737357366466	-140733.9213732061	3631.4034309850467	-1611.4034309850467	10418.543468182019	913.1405017296761	7.953117606183389	2.5219734950554035E-7	2.521973495055404E-7	-140733.9213732061	0.0	-152.8660247802159
9000	-140910.8355369883	-169.57007487346306	-140741.26546211485	4637.525560086013	-2617.525560086013	13554.100198033226	1467.279359257282	10.277263871421528	1.7574842384935754E-7	1.757484238493575E-7	-140741.26546211485	0.0	-158.24090148314207
