# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Nov 16 13:58:18 EST 2020 [seed=1605553077508]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-507048.3574549019	-142.1105804404364	-506906.2468744615	1000.0043854617795	1019.9956145382205	3032.080369143763	236.85775083819505	10.0	1.0E-8	9.999999999999995E-9	-506906.2468744615	0.0	-132.6555005635818
1000	-375785.03231141303	-349.5223770769793	-375435.50993433606	19361.907861742577	-17341.907861742577	76951.2644614614	861.0515285420121	9.24370999818013	5.831044193042481E-8	5.831044193042484E-8	-375435.50993433606	0.0	-338.91882534397007
2000	-304647.41059008165	-242.86596147979003	-304404.54462860187	50629.77376538644	-48609.77376538644	186676.73838167085	7164.619183575283	9.09399022618083	3.471359944230554E-7	3.4713599442305537E-7	-304404.54462860187	0.0	-230.17268914434655
3000	-280966.3607412129	-229.69686761605212	-280736.6638735969	93948.80637795612	-91928.80637795612	282530.4123019523	26971.172012991236	10.66065958375373	1.0719858475530203E-6	1.07198584755302E-6	-280736.6638735969	0.0	-215.38810444703944
4000	-280286.09652689996	-238.92957455322525	-280047.16695234674	130633.83510180234	-128613.83510180234	395286.89272729383	62506.33664244756	10.103553385982362	7.680527993769217E-7	7.680527993769213E-7	-280047.16695234674	0.0	-223.88000602026221
5000	-280252.49129651155	-249.0236126055624	-280003.46768390597	225555.8449681218	-223535.8449681218	681684.3730683649	76275.85945420897	10.022613288870389	4.4496856594794684E-7	4.4496856594794695E-7	-280003.46768390597	0.0	-233.7897368226657
6000	-280231.1903180582	-244.85219175770018	-279986.3381263005	181852.25375213195	-179832.25375213195	548866.2716818422	55102.59932147981	10.022613288870389	5.601594374875926E-7	5.601594374875925E-7	-279986.3381263005	0.0	-229.94347546832344
7000	-280201.18684564414	-242.1188127668063	-279959.06803287735	146851.79696080962	-144831.79696080962	445597.2495807619	75822.12300062565	10.022613288870389	6.852985811355334E-7	6.852985811355336E-7	-279959.06803287735	0.0	-226.8909031317231
8000	-280180.40297280694	-243.73027691839005	-279936.67269588856	167394.55338412445	-165374.55338412445	510263.5393973064	65342.44234241808	9.90777198825242	5.95595165031126E-7	5.955951650311259E-7	-279936.67269588856	0.0	-228.67222157233428
9000	-280160.1998392793	-229.24304026451912	-279930.95679901476	75945.3414527033	-73925.3414527033	232277.34780159453	39296.486634577675	9.90777198825242	1.3127589929996597E-6	1.3127589929996597E-6	-279930.95679901476	0.0	-214.69349086948412
10000	-280107.35808371776	-224.57054357211877	-279882.7875401456	61626.93010899121	-59606.93010899121	186917.15222480273	17020.937784424816	10.200693508067372	1.6505209423662419E-6	1.6505209423662427E-6	-279882.7875401456	0.0	-210.80416011583964
11000	-280070.390602453	-209.79915915250686	-279860.5914433005	27299.561820425784	-25279.561820425784	83454.93096688081	15453.139182813964	10.3142971814803	3.6260794180629646E-6	3.6260794180629633E-6	-279860.5914433005	0.0	-196.10891740394229
12000	-280002.40106717066	-201.81089033512598	-279800.59017683554	19708.40438713879	-17688.40438713879	59971.85437543428	8750.785816131041	10.3142971814803	5.0973690783234204E-6	5.09736907832342E-6	-279800.59017683554	0.0	-188.6893157774353
13000	-279956.57475002675	-185.1316477594882	-279771.4431022673	8780.430200790473	-6760.4302007904735	26762.382598353415	2989.300449577837	9.588905472256913	1.122962501996437E-5	1.1229625019964368E-5	-279771.4431022673	0.0	-173.2176316183398
14000	-279933.2042880413	-171.2979519707708	-279761.9063360705	4502.474376556114	-2482.4743765561143	13653.685151063677	1425.1329246631858	9.588905472256913	2.2003879613611786E-5	2.200387961361179E-5	-279761.9063360705	0.0	-160.12469936220918
15000	-279921.1515618931	-174.84756632843911	-279746.3039955647	4869.917624026202	-2849.9176240262022	14828.786841579245	2688.835285313265	9.588905472256913	2.034404796637029E-5	2.0344047966370293E-5	-279746.3039955647	0.0	-163.03947234913113
16000	-279894.8619374399	-166.3412373678348	-279728.52070007205	3242.336211503597	-1222.336211503597	9912.342381157736	1698.9537092365808	9.588905472256913	3.058103933690502E-5	3.0581039336905E-5	-279728.52070007205	0.0	-154.9922286755183
17000	-279871.8740300826	-156.91200820911016	-279714.9620218735	2250.740780674082	-230.7407806740821	6791.373721891256	843.5938040034354	9.588905472256913	4.4283930244805634E-5	4.4283930244805634E-5	-279714.9620218735	0.0	-146.26308258544708
18000	-279835.84581219964	-151.2625831934614	-279684.58322900615	1685.828764264059	334.1712357359411	5113.404504060763	614.7911919184367	9.588905472256913	5.9549802586024883E-5	5.9549802586024883E-5	-279684.58322900615	0.0	-140.93003072297572
19000	-279830.5158032028	-153.08106705356667	-279677.43473614927	1598.0362899625738	421.96371003742615	4896.050748643927	957.1376100316546	9.588905472256913	6.234639931996989E-5	6.234639931996992E-5	-279677.43473614927	0.0	-142.3058472970509
20000	-279809.5307831994	-150.5005494507002	-279659.0302337487	1399.551098291717	620.4489017082831	4279.468966636247	850.4035045900997	9.887889394426129	7.049887340734131E-5	7.04988734073413E-5	-279659.0302337487	0.0	-139.78778052846494
21000	-279804.91182320914	-146.66323114356928	-279658.2485920656	1339.4307633408723	680.5692366591277	4049.5101685051177	429.56431447365316	10.066131558108566	7.573283460230198E-5	7.573283460230198E-5	-279658.2485920656	0.0	-136.6006635994933
22000	-279794.2910158732	-144.9192501742035	-279649.371765699	1197.3811377419363	822.6188622580637	3639.023304072474	513.4182160444597	10.066131558108566	8.325498332379736E-5	8.32549833237974E-5	-279649.371765699	0.0	-134.678355831855
23000	-279796.1114688295	-144.33697844047066	-279651.77449038904	1179.432945222771	840.567054777229	3585.3684375988423	375.3863916628982	9.859801009466358	8.464154089275637E-5	8.464154089275642E-5	-279651.77449038904	0.0	-134.4471435825949
24000	-279786.06757542066	-143.78026354200057	-279642.28731187864	1147.0634529116433	872.9365470883567	3493.3908772790705	403.23754073090794	9.859801009466358	8.675539450738078E-5	8.675539450738076E-5	-279642.28731187864	0.0	-133.81885662414004
25000	-279791.9308223364	-146.34162193520967	-279645.5892004012	1275.9824153118086	744.0175846881914	3885.6058357069064	528.5273670536545	9.932439603959084	7.852936689323173E-5	7.852936689323176E-5	-279645.5892004012	0.0	-136.09624427994123
26000	-279792.45596616244	-145.4080065463618	-279647.04795961606	1216.135098617326	803.8649013826739	3705.9163971022094	368.7313524101043	9.932439603959084	8.178874883264632E-5	8.17887488326463E-5	-279647.04795961606	0.0	-135.52265188154556
27000	-279796.2721143285	-143.82796338294247	-279652.4441509456	1098.8847775527586	921.1152224472414	3342.553257884343	526.4658215697375	9.638468942564689	9.032876328819493E-5	9.032876328819497E-5	-279652.4441509456	0.0	-133.6411529620121
28000	-279793.9739896411	-143.09760832117644	-279650.87638131995	1076.734808077222	943.2651919227781	3281.482961641503	293.0661602208296	9.638468942564689	9.190119750956625E-5	9.190119750956625E-5	-279650.87638131995	0.0	-133.49658435465298
29000	-279785.18717590976	-141.50130989170069	-279643.68586601806	1030.5531160411424	989.4468839588576	3132.664848452253	385.90009926155045	9.638468942564689	9.636078470770919E-5	9.636078470770914E-5	-279643.68586601806	0.0	-131.6251013261545
30000	-279792.67379368376	-142.05844860529453	-279650.61534507846	1053.624772513475	966.3752274865251	3211.189337716126	381.85470930040714	9.624052118619787	9.42673446213129E-5	9.42673446213129E-5	-279650.61534507846	0.0	-132.19548922939256
31000	-279802.9554932252	-143.60288691060944	-279659.3526063146	1120.7513247050445	899.2486752949555	3418.4296137276874	417.53433064919824	10.232837718480006	8.811444932982917E-5	8.811444932982918E-5	-279659.3526063146	0.0	-133.5384374528875
32000	-279791.579699935	-143.74422810965515	-279647.8354718253	1083.30366816111	936.69633183889	3301.2645176925794	534.1636194538547	9.959377154209184	9.201743549449012E-5	9.201743549449014E-5	-279647.8354718253	0.0	-133.48327247810755
33000	-279789.7670669605	-144.29911257792756	-279645.4679543826	1142.9116179216123	877.0883820783877	3472.498510749618	523.9506753412717	9.959377154209184	8.81308380362023E-5	8.813083803620228E-5	-279645.4679543826	0.0	-134.05746547961496
34000	-279787.4130422591	-141.9303478302986	-279645.4826944288	1070.0370570873213	949.9629429126787	3233.4792567145264	354.6415790650849	9.795032186072367	9.419160445473021E-5	9.419160445473025E-5	-279645.4826944288	0.0	-132.10936317203092
35000	-279785.22782393213	-142.07766510584378	-279643.15015882626	1064.9764564928548	955.0235435071452	3231.8218665985783	401.5544499880217	9.836969325094108	9.452400509730244E-5	9.452400509730247E-5	-279643.15015882626	0.0	-132.12466142469435
36000	-279789.4773885423	-143.16627109576078	-279646.3111174466	1093.3039364479753	926.6960635520247	3314.435989993407	305.9342192943368	10.033057138535776	9.158846743047415E-5	9.158846743047412E-5	-279646.3111174466	0.0	-133.44913425925222
