# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Nov 16 13:30:53 EST 2020 [seed=1605551428198]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-200909.76257829342	-101.19877065754324	-200808.5638076359	101.35661016237262	1918.6433898376274	399.6755156810197	49.856361615007785	10.0	1.0E-8	9.999999999999999E-9	-200808.5638076359	0.0	-93.30200443078209
1000	-182879.65599097096	-167.00954845791668	-182712.64644251304	1101.4396561630804	918.5603438369196	4998.748334585292	496.36396221099886	10.496157625616384	8.260829635762211E-8	8.260829635762211E-8	-182712.64644251304	0.0	-156.72507527085514
2000	-169324.6204864902	-201.22105473718187	-169123.399431753	8492.611029668351	-6472.611029668351	40372.81797575605	8106.676173893489	10.39784492955671	5.67986496566213E-7	5.679864965662129E-7	-169123.399431753	0.0	-188.1609665498906
3000	-168622.37429909105	-195.00693199168836	-168427.36736709936	5992.842102302976	-3972.842102302976	28126.09198751483	5313.383952679185	9.686748572813364	1.4195979190382047E-6	1.4195979190382053E-6	-168427.36736709936	0.0	-182.49936051487833
4000	-168578.87584262993	-185.66740744834738	-168393.2084351816	3845.2127903523988	-1825.2127903523988	17603.63117730921	3681.004830414221	9.686748572813364	2.3161077680084817E-6	2.3161077680084813E-6	-168393.2084351816	0.0	-173.52687821987712
5000	-168535.1083569508	-177.03371273570207	-168358.0746442151	1563.2673973094884	456.7326026905116	7206.8024643677645	4144.382589156124	10.190768608639798	5.472074012286984E-6	5.472074012286986E-6	-168358.0746442151	0.0	-164.68181287709152
6000	-168488.70840806738	-157.21715118712623	-168331.49125688025	886.0584309857968	1133.9415690142032	3959.0181302100605	1165.4610697833193	9.519705287921761	9.89891056820029E-6	9.898910568200287E-6	-168331.49125688025	0.0	-146.2581285227823
7000	-168427.26636753452	-145.43774301258833	-168281.82862452194	426.4207894354393	1593.5792105645608	1837.7836185632273	814.173035218223	10.20076896053151	2.2010432592441412E-5	2.2010432592441412E-5	-168281.82862452194	0.0	-134.71135212138014
8000	-168354.85711939776	-127.5252038131502	-168227.3319155846	257.8952831263394	1762.1047168736607	1076.6747907360968	255.68424419782968	10.20076896053151	3.596001340367602E-5	3.5960013403676004E-5	-168227.3319155846	0.0	-117.95702862766377
9000	-168322.0446944964	-121.14279214893924	-168200.90190234745	217.80832705122353	1802.1916729487764	889.286203084276	121.35391804614872	9.807638588738996	4.6199147874052293E-5	4.619914787405229E-5	-168200.90190234745	0.0	-112.39190999279461
10000	-168308.49020311466	-121.69751135651029	-168186.79269175816	199.77151800650321	1820.2284819934969	849.9836830442438	104.51023219022733	10.812890815942264	4.5778807610799465E-5	4.577880761079947E-5	-168186.79269175816	0.0	-112.9152986203655
11000	-168301.56594828895	-120.06095458821292	-168181.50499370074	196.00258764485022	1823.9974123551497	818.7166237549062	136.78264625169186	10.231805334884184	4.8285709392950086E-5	4.828570939295008E-5	-168181.50499370074	0.0	-111.11270507538448
12000	-168296.20994951314	-118.80754948851879	-168177.4024000246	178.95985369355625	1841.0401463064438	749.7682500440997	152.02313104652424	10.594761859803624	5.146809330350146E-5	5.146809330350147E-5	-168177.4024000246	0.0	-109.68883839671511
13000	-168293.44945792275	-119.19922585531496	-168174.25023206742	173.7040771131753	1846.2959228868247	738.6676782226561	155.99129915973666	11.16607899925337	5.4235624089085225E-5	5.423562408908521E-5	-168174.25023206742	0.0	-109.9556147441661
14000	-168287.40554174472	-117.70300339760297	-168169.70253834713	167.57562401885465	1852.4243759811454	721.2201482124892	110.49734204928214	10.50340418235968	5.4704159644245106E-5	5.470415964424509E-5	-168169.70253834713	0.0	-108.91950651311622
15000	-168281.3759786939	-116.74257634934062	-168164.63340234454	164.09220322377695	1855.907796776223	691.1129819479894	85.18391729178931	10.475370683123096	5.8517238469783954E-5	5.8517238469783954E-5	-168164.63340234454	0.0	-108.22423673946976
16000	-168272.23102820935	-114.53656333304964	-168157.69446487632	149.2765477613961	1870.7234522386038	633.4902247883573	104.47513497008086	10.607962592123213	6.287366969090297E-5	6.287366969090294E-5	-168157.69446487632	0.0	-105.79059463225332
17000	-168264.97776461276	-113.50957405488194	-168151.46819055788	152.4070080216605	1867.5929919783396	626.6467769098252	84.85945969491117	10.607962592123213	6.380975948200547E-5	6.380975948200546E-5	-168151.46819055788	0.0	-104.97155704548115
18000	-168268.4908239961	-114.36429224598433	-168154.1265317501	147.10252549046604	1872.897474509534	618.5482691901175	71.7319138081089	11.427284251675681	6.373809983431816E-5	6.37380998343182E-5	-168154.1265317501	0.0	-105.85333256206421
