# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Nov 16 13:40:44 EST 2020 [seed=1605552021296]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-138997.84718835657	-96.07766153378536	-138901.76952682278	98.8815716297186	1921.1184283702814	348.6203756807716	41.68909577554789	10.0	1.0E-8	1.0000000000000004E-8	-138901.76952682278	0.0	-88.35980180801891
1000	-138912.42718247467	-113.63211997343195	-138798.79506250125	335.6259189934548	1684.374081006545	957.1683449372324	100.43225173933573	12.803170510362957	5.34186139887976E-8	5.341861398879762E-8	-138798.79506250125	0.0	-104.56236628710448
2000	-138874.51322594684	-120.32757003603899	-138754.1856559108	468.5954872085567	1551.4045127914433	1394.630302808184	122.81094881704888	8.861808087694405	3.7652271032263217E-7	3.7652271032263207E-7	-138754.1856559108	0.0	-111.74619938877268
3000	-138862.3203482291	-111.34263816983095	-138750.9777100593	231.74198942087483	1788.258010579125	774.3714845297402	116.07213364494538	4.918656807230112	5.335373972282445E-7	5.335373972282445E-7	-138750.9777100593	0.0	-103.7407670773282
4000	-138853.38904991242	-104.40674770112683	-138748.98230221128	234.72279171553924	1785.2772082844608	701.981956341365	48.73440824793819	3.4367841146936806	6.610311342791452E-7	6.610311342791451E-7	-138748.98230221128	0.0	-98.12614114546312
5000	-138861.23688261848	-108.04858621763107	-138753.18829640085	196.07814963822867	1823.9218503617712	637.620192760143	97.10031943051628	3.5111065783319817	7.397515823402904E-7	7.397515823402907E-7	-138753.18829640085	0.0	-101.05386721820263
6000	-138852.9592498913	-103.8986197782155	-138749.0606301131	145.45808337523545	1874.5419166247646	523.2665091881046	72.73453154451295	5.548393941699857	8.585347876108655E-7	8.585347876108652E-7	-138749.0606301131	0.0	-96.59330186632404
7000	-138856.19944781336	-105.87577810091351	-138750.32366971244	222.62482582405772	1797.3751741759422	698.3559171828076	64.56736803112773	8.07636045470576	6.516944895249705E-7	6.516944895249702E-7	-138750.32366971244	0.0	-98.09759105604533
8000	-138860.7291880698	-110.5970612743466	-138750.13212679545	250.49573201854696	1769.504267981453	842.1161989413587	66.94427769545392	6.664515392575856	5.672657723264386E-7	5.672657723264388E-7	-138750.13212679545	0.0	-103.09696229002797
9000	-138862.4828047741	-107.86844557199029	-138754.61435920213	170.15994404148094	1849.840055958519	584.0311240252397	101.41620465972078	7.006870219108224	7.059545264127927E-7	7.059545264127928E-7	-138754.61435920213	0.0	-99.87332586783386
10000	-138859.98232511902	-106.38370857748306	-138753.59861654154	116.8347083323512	1903.1652916676487	469.9932617722518	40.79605546331947	7.719357454984855	7.390942517072331E-7	7.390942517072332E-7	-138753.59861654154	0.0	-99.14070933307913
11000	-138849.93637333508	-94.94773697727285	-138754.9886363578	113.09629741010498	1906.903702589895	362.1856805507586	46.152418060555334	6.240973138803258	9.635298913925484E-7	9.635298913925486E-7	-138754.9886363578	0.0	-87.92151653098702
12000	-138846.37165139188	-94.49082934513153	-138751.88082204675	87.04486196236046	1932.9551380376395	309.2003476371789	50.85542812143967	4.3546677730476056	1.2848741159187015E-6	1.2848741159187015E-6	-138751.88082204675	0.0	-87.87744679652062
13000	-138841.73176963205	-89.01050632655804	-138752.7212633055	115.53416830629459	1904.4658316937055	338.8610015152332	21.256474883785895	4.246668391468043	1.280620354296495E-6	1.2806203542964948E-6	-138752.7212633055	0.0	-83.30193505053244
14000	-138836.14179170036	-88.73477084827786	-138747.4070208521	110.11026963060675	1909.8897303693932	324.1671895600204	32.93665458633653	5.575567663859756	1.2496514250430339E-6	1.2496514250430339E-6	-138747.4070208521	0.0	-82.2145583773151
15000	-138844.45274767117	-96.35727391770692	-138748.09547375346	116.79167700225466	1903.2083229977454	382.99475450689795	41.84832765082332	7.312798699110889	1.0842622549949846E-6	1.0842622549949846E-6	-138748.09547375346	0.0	-89.1781177378538
16000	-138854.10394737998	-102.33616863212664	-138751.76777874786	140.44019133045865	1879.5598086695413	462.6196953573302	43.21483814607799	8.283911158421242	8.537972469939019E-7	8.537972469939019E-7	-138751.76777874786	0.0	-94.91624307260096
17000	-138847.67486043938	-95.26175614587649	-138752.4131042935	159.20344162938503	1860.796558370615	454.6989393621787	47.08825911157094	9.006631178549668	9.538171541004327E-7	9.538171541004327E-7	-138752.4131042935	0.0	-87.6104528518293
18000	-138854.71206613904	-102.30082852658639	-138752.41123761245	119.89985860974619	1900.1001413902538	419.21068616528527	68.21966367754874	7.013394669893506	1.0229910612887443E-6	1.022991061288744E-6	-138752.41123761245	0.0	-94.70071352731986
19000	-138857.49955305952	-105.3468310772398	-138752.15272198227	145.69088284989456	1874.3091171501055	471.7748285867881	36.51571054841472	9.415549401027905	1.0675112900771465E-6	1.0675112900771465E-6	-138752.15272198227	0.0	-97.8707341396913
20000	-138859.94272835983	-110.24054869706401	-138749.70217966277	205.46241190892079	1814.5375880910792	682.8541340896359	68.89670152535332	10.529544485591176	4.849518048704954E-7	4.849518048704953E-7	-138749.70217966277	0.0	-101.92485125542939
21000	-138859.3395419047	-103.5966926036975	-138755.742849301	140.76898165923072	1879.2310183407692	478.7597338798112	53.49140569356424	5.595051615260807	9.997011845578282E-7	9.997011845578282E-7	-138755.742849301	0.0	-96.58644933179443
22000	-138853.76869877274	-97.40350324809904	-138756.36519552465	127.56268924511994	1892.43731075488	409.70748017576494	31.774447491476234	8.329564905402924	6.814456669290362E-7	6.814456669290363E-7	-138756.36519552465	0.0	-90.28167413504988
23000	-138854.21557670954	-100.83249144519887	-138753.38308526433	159.67540648228257	1860.3245935177174	502.3541017943347	58.48509708138346	3.9622774842898334	7.775110724155412E-7	7.775110724155413E-7	-138753.38308526433	0.0	-94.1993800153678
24000	-138853.84022665798	-102.49115921972337	-138751.34906743825	131.69042743661646	1888.3095725633834	462.17965706577144	69.97656615849795	4.811729639734239	8.855773962378571E-7	8.855773962378573E-7	-138751.34906743825	0.0	-95.42550541155664
25000	-138855.97197322568	-102.14505325010484	-138753.82691997557	164.42206081101475	1855.5779391889853	531.0184263485687	56.30185337650044	4.8387708960466265	7.021294838712713E-7	7.021294838712714E-7	-138753.82691997557	0.0	-95.28917023241038
26000	-138857.2898411945	-103.19707111677735	-138754.09277007772	142.42975931647084	1877.5702406835292	489.8784394044001	70.86334408619358	3.585401845423446	9.774100924183874E-7	9.774100924183874E-7	-138754.09277007772	0.0	-96.49283386713898
